state,year,Q1_cloud_cover.afternoon,Q2_cloud_cover.afternoon,Q3_cloud_cover.afternoon,Q4_cloud_cover.afternoon,Q1_humidity.afternoon,Q2_humidity.afternoon,Q3_humidity.afternoon,Q4_humidity.afternoon,Q1_precipitation.total,Q2_precipitation.total,Q3_precipitation.total,Q4_precipitation.total,Q1_pressure.afternoon,Q2_pressure.afternoon,Q3_pressure.afternoon,Q4_pressure.afternoon,Q1_temperature.afternoon,Q2_temperature.afternoon,Q3_temperature.afternoon,Q4_temperature.afternoon,Q1_temperature.evening,Q2_temperature.evening,Q3_temperature.evening,Q4_temperature.evening,Q1_temperature.max,Q2_temperature.max,Q3_temperature.max,Q4_temperature.max,Q1_temperature.min,Q2_temperature.min,Q3_temperature.min,Q4_temperature.min,Q1_temperature.morning,Q2_temperature.morning,Q3_temperature.morning,Q4_temperature.morning,Q1_temperature.night,Q2_temperature.night,Q3_temperature.night,Q4_temperature.night,Q1_wind.max.direction,Q2_wind.max.direction,Q3_wind.max.direction,Q4_wind.max.direction,Q1_wind.max.speed,Q2_wind.max.speed,Q3_wind.max.speed,Q4_wind.max.speed,is_future
Alabama,1980,75.735,44.48,40.675000000000004,52.151666666666664,67.49833333333333,55.99,51.9,50.01,7.909999999999999,0.5216666666666666,0.7200000000000001,8.493333333333332,1018.7833333333334,1015.7633333333333,1017.6266666666667,1021.6700000000001,286.3616666666667,298.5,304.8883333333333,286.17333333333335,282.75333333333333,297.84666666666664,302.83166666666665,283.7133333333333,289.09833333333336,300.22499999999997,306.11999999999995,287.8516666666667,277.08,289.00333333333333,294.59833333333336,278.06666666666666,279.715,289.50666666666666,294.66333333333336,278.71,283.1333333333333,290.6766666666667,297.2316666666667,280.06333333333333,242.1933333333333,198.6833333333333,188.05166666666665,185.38666666666666,5.151666666666666,3.6366666666666667,3.155,4.641666666666667,0
Alabama,1981,47.528,65.20714285714286,48.77166666666667,35.76833333333334,48.048,45.84285714285714,58.49166666666667,64.81,0.092,1.9042857142857144,0.49333333333333335,2.0083333333333333,1021.624,1019.222857142857,1017.465,1018.8533333333334,285.976,299.9371428571429,304.325,289.72166666666664,284.816,298.24142857142857,302.4316666666667,286.9583333333333,287.446,301.03999999999996,305.57166666666666,291.345,275.494,289.86,294.58166666666665,281.14,276.20799999999997,291.3442857142857,294.68833333333333,282.55333333333334,278.474,293.42285714285714,296.3066666666667,283.935,221.754,173.02142857142857,183.1,99.53500000000001,4.818,3.5342857142857143,2.8666666666666667,3.6566666666666663,0
Alabama,1982,75.29400000000001,52.621428571428574,56.115,71.51833333333333,73.532,61.824285714285715,65.21,69.565,6.531999999999999,1.2785714285714285,4.346666666666667,5.824999999999999,1017.372,1017.3857142857142,1019.1083333333332,1018.81,288.494,300.6557142857143,302.315,290.7733333333333,284.844,299.2657142857143,299.505,287.7683333333333,290.3,301.8142857142857,303.2416666666667,291.86333333333334,278.41,290.9557142857143,293.84166666666664,283.24666666666667,284.428,291.4557142857143,294.195,286.41333333333336,284.152,292.30857142857144,295.17333333333335,287.20666666666665,222.83800000000002,185.53,131.94500000000002,193.71833333333333,4.676,3.2214285714285715,3.026666666666667,5.816666666666666,0
Alabama,1983,72.45,53.02285714285715,41.711666666666666,49.43333333333334,59.327999999999996,57.222857142857144,59.598333333333336,64.44666666666667,2.584,4.347142857142857,12.883333333333333,13.058333333333332,1013.4559999999999,1014.5228571428571,1017.6533333333333,1017.6816666666667,286.70799999999997,296.46714285714285,302.27,285.85333333333335,284.578,295.5657142857143,300.53333333333336,283.6766666666667,289.17600000000004,298.04714285714283,303.6816666666667,288.96,276.706,287.5785714285714,293.07166666666666,278.13666666666666,277.054,288.0128571428572,293.145,279.37333333333333,279.20799999999997,290.40285714285716,295.1933333333333,282.0783333333333,186.38799999999998,235.01142857142855,151.05,231.07833333333335,3.55,4.607142857142857,3.5,4.715,0
Alabama,1984,33.13,61.52833333333333,52.196666666666665,58.903333333333336,52.585,54.21666666666667,67.19333333333333,60.461666666666666,0.22499999999999998,3.033333333333333,9.251666666666667,0.17666666666666667,1022.005,1016.785,1018.4283333333333,1021.2666666666668,286.01166666666666,296.52833333333336,301.32,293.08166666666665,284.6083333333333,294.62666666666667,299.4666666666667,290.02833333333336,287.8233333333333,297.74333333333334,302.8433333333333,294.40333333333336,275.7083333333333,288.40833333333336,292.98499999999996,282.5566666666667,276.465,289.13,293.34,283.04833333333335,278.455,291.415,295.0416666666667,284.205,260.79833333333335,127.72333333333331,127.52833333333332,162.96666666666667,3.1466666666666665,4.155,2.831666666666667,3.9450000000000003,0
Alabama,1985,64.14,49.387142857142855,63.06999999999999,69.04666666666667,55.827999999999996,60.58428571428572,62.625,76.625,11.813999999999998,6.998571428571429,5.073333333333333,9.103333333333333,1017.842,1015.2428571428571,1019.8966666666666,1017.1366666666667,286.318,297.5728571428572,301.6483333333333,293.54,284.552,296.7557142857143,297.365,291.385,287.096,299.2257142857143,302.695,294.2166666666667,276.778,288.12285714285713,292.755,286.9916666666667,279.6,288.64428571428573,293.11833333333334,288.0266666666667,279.048,290.8671428571428,294.5566666666667,287.7266666666667,254.464,258.04714285714283,120.98833333333333,128.71333333333334,4.282,4.555714285714286,3.23,4.065,0
Alabama,1986,31.038,46.355714285714285,36.14,66.84833333333334,40.674,48.13857142857143,54.89833333333333,69.30166666666666,0.006,0.18142857142857144,0.895,8.061666666666667,1023.47,1016.9642857142857,1018.6966666666667,1020.5783333333334,288.068,300.45142857142855,303.04833333333335,287.81333333333333,286.26,298.99142857142857,300.465,285.0083333333333,290.4,301.89142857142855,304.2766666666667,288.6666666666667,274.086,289.77,293.02000000000004,281.215,274.928,289.9042857142857,293.25,282.78333333333336,276.192,291.86285714285714,295.4866666666667,283.74,189.24,208.68428571428572,162.61333333333332,167.87,3.9939999999999998,3.2085714285714286,3.1566666666666663,3.4116666666666666,0
Alabama,1987,75.334,39.547142857142866,54.605,33.346666666666664,60.69,51.709999999999994,52.94333333333333,50.80500000000001,7.3199999999999985,1.03,0.26833333333333337,2.7466666666666666,1016.22,1015.51,1016.9266666666667,1018.2066666666666,288.2,298.86571428571426,303.55,290.795,286.536,296.90000000000003,302.03666666666663,287.34,290.006,300.20285714285717,305.23333333333335,292.395,281.328,288.5057142857143,293.8633333333333,280.65833333333336,281.634,288.7728571428571,294.17,281.055,283.52,290.3985714285714,295.78,283.52833333333336,189.51,165.19714285714286,190.475,212.775,5.517999999999999,3.527142857142857,3.4633333333333334,3.563333333333334,0
Alabama,1988,65.90166666666666,33.68833333333333,50.656666666666666,32.53333333333333,50.52166666666667,40.61166666666667,66.515,54.61666666666667,3.2900000000000005,0.3416666666666666,1.4983333333333333,2.5083333333333333,1021.54,1017.9933333333333,1019.985,1019.765,287.7,301.93833333333333,302.88166666666666,290.2816666666667,285.74666666666667,299.8966666666667,300.24666666666667,286.61333333333334,289.77833333333336,302.98,303.90166666666664,291.4316666666667,277.50666666666666,288.35999999999996,295.34166666666664,280.46,280.0883333333333,289.5183333333334,295.55333333333334,281.08833333333337,281.815,291.455,296.78833333333336,282.9816666666666,178.9083333333333,154.26333333333332,147.8,191.38833333333332,4.4383333333333335,3.3083333333333336,2.9233333333333333,4.376666666666667,0
Alabama,1989,50.465999999999994,47.425714285714285,55.05666666666667,38.69833333333333,65.46799999999999,63.10142857142857,64.93166666666667,53.949999999999996,1.682,8.268571428571429,1.5933333333333335,3.893333333333333,1022.53,1018.0057142857142,1017.7266666666666,1018.8316666666666,290.106,296.4171428571429,302.04333333333335,292.665,288.294,295.2942857142857,298.79333333333335,287.545,291.806,297.7871428571429,303.22333333333336,294.9633333333333,280.934,287.7142857142857,294.255,280.22999999999996,281.992,288.2742857142857,294.67333333333335,281.7283333333333,282.83000000000004,290.14714285714285,295.94166666666666,283.915,203.85399999999998,186.51857142857145,137.69166666666666,194.33,4.104,3.8000000000000003,2.6649999999999996,3.6833333333333336,0
